Z,delta
777,1
781,0
843,0
866,0
869,1
872,1
876,1
893,1
894,1
895,0
898,1
906,0
907,1
909,1
911,1
911,0
914,0
927,1
932,1
936,0
940,0
942.5,0
943,0
945,1
945,0
948,1
951,0
953,0
956,0
957,1
957,0
959,0
960,0
966,1
966,0
969,1
970,0
971,1
972,0
973,0
977,0
983,1
984,0
985,1
989,1
992.5,1
993,1
996,1
998,1
1001,0
1002,0
1005,0
1006,0
1009,1
1011.5,1
1012,1
1012,0
1013,0
1015,0
1016,0
1018,0
1022,1
1023,0
1025,1
1027,0
1029,1
1031,1
1031,0
1031.5,0
1033,1
1036,1
1043,1
1043,0
1044,1
1044,0
1045,0
1047,0
1053,1
1055,1
1058,0
1059,1
1060,1
1060,0
1064,0
1070,0
1073,0
1080,1
1085,1
1093,0
1093.5,1
1094,1
1106,0
1107,0
1118,0
1128,1
1139,1
1153,0
